modelo,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std
Random Forest,0.8194,0.0088,0.7557,0.0143,0.768,0.013,0.76,0.0136
XGBoost,0.8224,0.0084,0.7475,0.0124,0.7809,0.0123,0.7619,0.0125
