modelo,f1_macro,f1_macro_ci_low,f1_macro_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high
XGBoost,0.5080594270069311,0.47230215796508423,0.537981715786727,0.8007683863885839,0.7837403951701427,0.8172475301866081
Random Forest,0.5059550642439042,0.47044053785771217,0.5383819234727936,0.796377607025247,0.7782519209659714,0.8150384193194292
