modelo,clase,precision,recall,f1_score,support
Random Forest,LEVE,0.919233401779603,0.8772044415414761,0.8977272727272727,1531
Random Forest,GRAVE_LESIONADOS,0.23333333333333334,0.2,0.2153846153846154,105
Random Forest,GRAVE_MORTALIDAD,0.3247232472324723,0.4731182795698925,0.3851203501094092,186
XGBoost,LEVE,0.9117647058823529,0.9111691704768126,0.9114668409016661,1531
XGBoost,GRAVE_LESIONADOS,0.25,0.24761904761904763,0.24880382775119617,105
XGBoost,GRAVE_MORTALIDAD,0.3404255319148936,0.34408602150537637,0.3422459893048128,186
