modelo,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc_ovr_macro
XGBoost,0.7952799121844127,0.439869831805088,0.4127477430926579,0.42072887837933365,0.7687982339143977,0.7952799121844127,0.7806571074304038,0.7590644857695059
Random Forest,0.7897914379802415,0.4165135059871902,0.40799744351502637,0.4094140108485104,0.7712476397726846,0.7897914379802415,0.7798869286092062,0.7473667526835034
