CLASE SINIESTRO,CANTIDAD DE FALLECIDOS,CANTIDAD DE LESIONADOS,CANTIDAD DE VEHICULOS DAÑADOS,DEPARTAMENTO,PROVINCIA,DISTRITO,ZONA,TIPO DE VÍA,RED VIAL,COD CARRETERA,COORDENADAS LATITUD,COORDENADAS  LONGITUD,CONDICIÓN CLIMÁTICA,ZONIFICACIÓN,CARACTERÍSTICAS DE VÍA,PERFIL LONGITUDINAL VÍA,SUPERFICIE DE CALZADA,¿EXISTE SEÑAL VERTICAL?,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 1,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 2,¿EXISTE SEÑAL HORIZONTAL?,CAUSA FACTOR PRINCIPAL,CAUSA ESPECÍFICA,AÑO,MES,DIA_SEMANA,ES_FIN_SEMANA,HORA_NUM,FRANJA_HORARIA,REGION_NATURAL,CATEGORIA_SEVERIDAD,MORTALIDAD_MULTIPLE,LESION_MULTIPLE
DESPISTE,1,0,1,LIMA,HUARAL,HUARAL,RURAL,CARRETERA,PROVINCIAL,LM-671,-11.4828792384881,-77.25554675971524,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,TROCHA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,4,0,4,MADRUGADA,COSTA,LEVE,0,0
DESPISTE,1,3,0,LIMA,LIMA,PACHACAMAC,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.2294,-76.859412,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,2021,1,4,0,5,MADRUGADA,COSTA,GRAVE_LESIONADOS,0,1
ATROPELLO FUGA,2,0,1,LA LIBERTAD,VIRU,VIRU,URBANA,CARRETERA,PROVINCIAL,LI-1150,-8.414865,-78.754544,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,4,0,6,MAÑANA,COSTA,GRAVE_MORTALIDAD,1,0
CHOQUE,1,0,2,LA LIBERTAD,VIRU,VIRU,RURAL,CARRETERA,NACIONAL,PE-1N,-8.432617,-78.772242,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,GIRAR IMPRUDENTEMENTE,2021,1,4,0,7,MAÑANA,COSTA,LEVE,0,0
ATROPELLO,1,1,0,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.164406,-76.953426,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,2021,1,4,0,14,TARDE,COSTA,LEVE,0,0
CHOQUE,1,1,2,SAN MARTIN,RIOJA,RIOJA,URBANA,JIRÓN,URBANO,NO CORRESPONDE,-6.063829,-77.171368,LLUVIOSO,COMERCIAL,INTERSECCIÓN,PLANA ,CONCRETO,SI,REGULADORA (R),INFORMATIVA (I),SI,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN SENTIDO CONTRARIO,2021,1,4,0,17,TARDE,SELVA,LEVE,0,0
CHOQUE CON OBJETO FIJO,1,0,1,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,RURAL,CARRETERA,NACIONAL,PE-1N,-6.680472,-79.903582,DESPEJADO,INDUSTRIAL,CURVA,PLANA ,ASFALTADA,SI,PREVENTIVA (P),SIN_DATO,NO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,4,0,21,NOCHE,COSTA,LEVE,0,0
CHOQUE,1,0,2,PIURA,PIURA,PIURA,URBANA,OTRO,URBANO,NO CORRESPONDE,-5.164955595374173,-80.65128116025174,DESPEJADO,RURAL,INTERSECCIÓN,PLANA ,CONCRETO,SI,PREVENTIVA (P),REGULADORA (R),SI,IMPRUDENCIA DEL CONDUCTOR,NO ESTABLECER EL DERECHO DE PASO,2021,1,5,1,8,MAÑANA,COSTA,LEVE,0,0
CHOQUE,1,1,2,JUNIN,YAULI,MOROCOCHA,URBANA,CARRETERA,NACIONAL,PE-22,-11.5916549,-76.0752901,DESPEJADO,COMERCIAL,OTRO,INCLINADA,ASFALTADA,SI,REGULADORA (R),PREVENTIVA (P),SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,5,1,9,MAÑANA,SIERRA,LEVE,0,0
CHOQUE,1,0,2,PUNO,AZANGARO,AZANGARO,RURAL,CARRETERA,NACIONAL,PE-34B,-14.92116,-70.204043,LLUVIOSO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),2021,1,5,1,13,TARDE,SIERRA,LEVE,0,0
ATROPELLO,1,0,1,ANCASH,SANTA,CHIMBOTE,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-9.103893283331551,-78.5542565472423,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,REGULADORA (R),SIN_DATO,SIN_DATO,IMPRUDENCIA DEL PEATÓN,ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,2021,1,5,1,21,NOCHE,SIERRA,LEVE,0,0
CHOQUE,1,3,2,PIURA,SULLANA,MIGUEL CHECA,URBANA,CARRETERA,DEPARTAMENTAL,PI-102,-4.904804841419826,-80.81424317099258,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,NO,SIN_DATO,SIN_DATO,NO,IMPRUDENCIA DEL CONDUCTOR,ADELANTAR INDEBIDAMENTE,2021,1,5,1,22,NOCHE,COSTA,GRAVE_LESIONADOS,0,1
ATROPELLO FUGA,1,0,0,LIMA,LIMA,VILLA EL SALVADOR,URBANA,CARRETERA,NACIONAL,PE-1S,-12.225604,-76.971698,SOLEADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,6,1,0,MADRUGADA,COSTA,LEVE,0,0
CHOQUE,1,1,2,LA LIBERTAD,ASCOPE,CHICAMA,RURAL,CARRETERA,NACIONAL,PE-1N,-7.84524,-79.150883,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,GIRAR IMPRUDENTEMENTE,2021,1,6,1,9,MAÑANA,COSTA,LEVE,0,0
DESPISTE,1,3,1,LIMA,HUAURA,PACCHO,RURAL,CARRETERA,NACIONAL,PE-18,-10.88706939738808,-76.98079339602495,LLUVIOSO,RURAL,SINUOSA,PLANA ,ASFALTADA,SI,REGULADORA (R),PREVENTIVA (P),NO,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,2021,1,6,1,16,TARDE,COSTA,GRAVE_LESIONADOS,0,1
ATROPELLO,1,0,1,JUNIN,SATIPO,MAZAMARI,RURAL,CARRETERA,NACIONAL,PE-5S,-11.299122793253288,-74.54719269575503,NUBLADO,RURAL,CURVA,PLANA ,CONCRETO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,6,1,20,NOCHE,SIERRA,LEVE,0,0
ATROPELLO,1,1,1,LA LIBERTAD,VIRU,VIRU,URBANA,CARRETERA,NACIONAL,PE-1N,-8.42432,-78.781809,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),2021,1,6,1,21,NOCHE,COSTA,LEVE,0,0
ATROPELLO,1,0,0,LIMA,LIMA,ATE,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.026010259318932,-76.91912179578782,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),2021,1,0,0,1,MADRUGADA,COSTA,LEVE,0,0
ATROPELLO FUGA,1,0,0,PIURA,HUANCABAMBA,SONDORILLO,RURAL,CARRETERA,PROVINCIAL,PI-897,-5.334099525062091,-79.44716669304513,DESPEJADO,RURAL,OTRO,INCLINADA,AFIRMADO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),2021,1,0,0,4,MADRUGADA,COSTA,LEVE,0,0
CHOQUE,1,1,2,AREQUIPA,AREQUIPA,LA JOYA,RURAL,CARRETERA,NACIONAL,PE-34A,-16.528801,-71.758877,NUBLADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,PREVENTIVA (P),PREVENTIVA (P),SI,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),2021,1,0,0,4,MADRUGADA,COSTA,LEVE,0,0
CHOQUE,1,1,2,ANCASH,CASMA,CASMA,RURAL,CARRETERA,NACIONAL,PE-1N,-9.48456685315444,-78.27405272080628,DESPEJADO,RURAL,INTERSECCIÓN,INCLINADA,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,GIRAR IMPRUDENTEMENTE,2021,1,0,0,7,MAÑANA,SIERRA,LEVE,0,0
ESPECIAL,1,0,0,CUSCO,PAUCARTAMBO,PAUCARTAMBO,RURAL,CARRETERA,SIN CLASIFICAR,SIN CLASIFICAR,-13.234828053175768,-71.49185821194068,DESPEJADO,RURAL,OTRO,INCLINADA,TROCHA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,NEGLIGENCIA DEL CONDUCTOR,OTRO (NEGLIGENCIA DEL CONDUCTOR),2021,1,0,0,15,TARDE,SIERRA,LEVE,0,0
CHOQUE,1,2,1,PUNO,CHUCUITO,KELLUYO,RURAL,CARRETERA,DEPARTAMENTAL,PU-152,-16.687,-69.176,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,0,0,20,NOCHE,SIERRA,LEVE,0,0
CHOQUE,1,2,2,LA LIBERTAD,PACASMAYO,PACASMAYO,RURAL,CARRETERA,NACIONAL,PE-1N,-7.41567,-79.548581,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,ADELANTAR INDEBIDAMENTE,2021,1,0,0,20,NOCHE,COSTA,LEVE,0,0
CHOQUE,1,1,2,AREQUIPA,CAMANA,SAMUEL PASTOR,URBANA,CARRETERA,NACIONAL,PE-1S,-16.6066661330461,-72.6996068528726,DESPEJADO,RURAL,SINUOSA,INCLINADA,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,0,0,21,NOCHE,COSTA,LEVE,0,0
CAÍDA DE PASAJERO,1,0,0,JUNIN,CHUPACA,CHUPACA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.0596872,-75.2879895,DESPEJADO,COMERCIAL,CURVA,INCLINADA,ASFALTADA,SI,REGULADORA (R),SIN_DATO,SI,NEGLIGENCIA DEL CONDUCTOR,OTRO (NEGLIGENCIA DEL CONDUCTOR),2021,1,1,0,10,MAÑANA,SIERRA,LEVE,0,0
ATROPELLO,1,0,0,APURIMAC,AYMARAES,COTARUSE,RURAL,CARRETERA,NACIONAL,PE-30A,-14.51889722017264,-73.2761202903143,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,INFORMATIVA (I),PREVENTIVA (P),NO,IMPRUDENCIA DEL PEATÓN,OTRO (IMPRUDENCIA DEL PEATÓN),2021,1,1,0,17,TARDE,SIERRA,LEVE,0,0
ATROPELLO FUGA,1,0,0,LIMA,BARRANCA,SUPE,URBANA,CARRETERA,NACIONAL,PE-1N,-10.788981442173975,-77.71142585156548,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,1,0,23,NOCHE,COSTA,LEVE,0,0
ATROPELLO,1,0,1,PUNO,HUANCANE,TARACO,RURAL,CARRETERA,NACIONAL,PE-34H,-15.257925,-69.876396,LLUVIOSO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,INFORMATIVA (I),PREVENTIVA (P),SI,IMPRUDENCIA DEL PEATÓN,OTRO (IMPRUDENCIA DEL PEATÓN),2021,1,2,0,6,MAÑANA,SIERRA,LEVE,0,0
ATROPELLO FUGA,1,0,0,JUNIN,HUANCAYO,CULLHUAS,RURAL,CARRETERA,NACIONAL,PE-3S,-12.2348153,-75.1553866,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,2,0,7,MAÑANA,SIERRA,LEVE,0,0
CHOQUE,2,0,0,LIMA,LIMA,CHORRILLOS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.173039,-76.995706,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,2021,1,2,0,20,NOCHE,COSTA,GRAVE_MORTALIDAD,1,0
DESPISTE,1,0,1,CUSCO,LA CONVENCION,QUELLOUNO,RURAL,CARRETERA,PROVINCIAL,CU-693,-12.58222,-72.39343,DESPEJADO,RURAL,CURVA,INCLINADA,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,3,0,12,TARDE,SIERRA,LEVE,0,0
ATROPELLO,1,0,1,ANCASH,SANTA,SANTA,RURAL,CARRETERA,NACIONAL,PE-1N,-9.004006503532352,-78.61846985128324,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL PEATÓN,CRUCE INDEBIDO POR LA CALZADA,2021,1,3,0,19,NOCHE,SIERRA,LEVE,0,0
CHOQUE,1,0,1,ICA,ICA,PUEBLO NUEVO,URBANA,CARRETERA,NACIONAL,PE-1S,-14.11280351736792,-75.71768884490805,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,2021,1,4,0,5,MADRUGADA,COSTA,LEVE,0,0
CHOQUE,1,0,2,PUNO,SAN ROMAN,JULIACA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-15.511687,-70.125365,LLUVIOSO,COMERCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,SI,PREVENTIVA (P),REGULADORA (R),NO,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,2021,1,4,0,20,NOCHE,SIERRA,LEVE,0,0
CHOQUE,2,0,2,AREQUIPA,CARAVELI,LOMAS,RURAL,CARRETERA,NACIONAL,PE-1S,-15.296713,-74.915512,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,5,1,6,MAÑANA,COSTA,GRAVE_MORTALIDAD,1,0
CHOQUE,1,1,2,CUSCO,CHUMBIVILCAS,COLQUEMARCA,RURAL,CARRETERA,PROVINCIAL,CU-1542,-14.255447,-72.051308,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,5,1,8,MAÑANA,SIERRA,LEVE,0,0
DESPISTE,1,0,0,LIMA,LIMA,SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.980617,-77.012747,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,NEGLIGENCIA DEL CONDUCTOR,OTRO (NEGLIGENCIA DEL CONDUCTOR),2021,1,5,1,10,MAÑANA,COSTA,LEVE,0,0
DESPISTE,1,0,1,LAMBAYEQUE,CHICLAYO,LA VICTORIA,RURAL,CARRETERA,PROVINCIAL,LA-778,-6.821616,-79.855199,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,5,1,15,TARDE,COSTA,LEVE,0,0
CHOQUE,1,4,2,LIMA,BARRANCA,PATIVILCA,RURAL,CARRETERA,NACIONAL,PE-16A,-10.658884060554785,-77.6526383087629,SOLEADO,RURAL,CURVA,PLANA ,ASFALTADA,NO,SIN_DATO,SIN_DATO,SI,IMPRUDENCIA DEL CONDUCTOR,INVASIÓN DE CARRIL,2021,1,5,1,16,TARDE,COSTA,GRAVE_LESIONADOS,0,1
CHOQUE,1,0,2,ICA,ICA,SAN JOSE DE LOS MOLINOS,URBANA,CARRETERA,NACIONAL,PE-1SC,-13.963668753161592,-75.69515216658996,DESPEJADO,ESCOLAR,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,2021,1,5,1,19,NOCHE,COSTA,LEVE,0,0
ATROPELLO,1,0,1,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,URBANA,CARRETERA,NACIONAL,PE-1NJ,-6.145723,-79.718245,DESPEJADO,RESIDENCIAL,CURVA,INCLINADA,ASFALTADA,SI,PREVENTIVA (P),PREVENTIVA (P),SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,6,1,2,MADRUGADA,COSTA,LEVE,0,0
ATROPELLO FUGA,1,0,0,LIMA,HUAURA,VEGUETA,RURAL,CARRETERA,NACIONAL,PE-1N,-11.030083804634163,-77.5926482784233,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,6,1,5,MADRUGADA,COSTA,LEVE,0,0
CHOQUE,1,1,2,SAN MARTIN,MOYOBAMBA,CALZADA,URBANA,CARRETERA,NACIONAL,PE-5N,-6.039758,-77.060566,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,REGULADORA (R),INFORMATIVA (I),NO,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,2021,1,6,1,5,MADRUGADA,SELVA,LEVE,0,0
CHOQUE,1,2,2,LA LIBERTAD,ASCOPE,PAIJAN,RURAL,CARRETERA,PROVINCIAL,LI-610,-7.723725,-79.342576,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,6,1,12,TARDE,COSTA,LEVE,0,0
VOLCADURA,1,0,1,LAMBAYEQUE,CHICLAYO,NUEVA ARICA,RURAL,CARRETERA,NACIONAL,PE-1NI,-6.880811,-79.363869,DESPEJADO,RURAL,ÓVALO,PLANA ,ASFALTADA,SI,PREVENTIVA (P),SIN_DATO,SI,IMPRUDENCIA DEL CONDUCTOR,ADELANTAR INDEBIDAMENTE,2021,1,6,1,14,TARDE,COSTA,LEVE,0,0
CHOQUE,1,1,3,HUANUCO,HUANUCO,AMARILIS,URBANA,CARRETERA,NACIONAL,PE-18A,-9.913026,-76.23101,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,ADELANTAR INDEBIDAMENTE,2021,1,6,1,20,NOCHE,SIERRA,LEVE,0,0
CHOQUE,1,1,2,LIMA,HUARAL,CHANCAY,RURAL,CARRETERA,NACIONAL,PE-1N,-11.605630713512038,-77.24177233479881,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,REGULADORA (R),PREVENTIVA (P),NO,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),2021,1,6,1,20,NOCHE,COSTA,LEVE,0,0
ATROPELLO,1,0,1,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,RURAL,CARRETERA,NACIONAL,PE-1N,-6.637867,-79.950015,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,0,0,1,MADRUGADA,COSTA,LEVE,0,0
DESPISTE,1,2,1,TACNA,TARATA,TARATA,RURAL,CARRETERA,NACIONAL,PE-38,-17.4667790645833,-70.0345603030153,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,2021,1,0,0,6,MAÑANA,COSTA,LEVE,0,0
ATROPELLO,1,0,1,CUSCO,ESPINAR,OCORURO,RURAL,CARRETERA,NACIONAL,PE-34J,-14.9720021054264,-71.1823097310146,NUBLADO,RURAL,TRAMO RECTO,PLANA ,TROCHA,SI,REGULADORA (R),PREVENTIVA (P),NO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,0,0,7,MAÑANA,SIERRA,LEVE,0,0
CHOQUE,1,4,2,LA LIBERTAD,ASCOPE,CHICAMA,RURAL,CARRETERA,NACIONAL,PE-1NF,-7.743064,-79.08115,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,ADELANTAR INDEBIDAMENTE,2021,1,0,0,7,MAÑANA,COSTA,GRAVE_LESIONADOS,0,1
DESPISTE,1,0,0,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.1622,-76.943612,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,0,0,9,MAÑANA,COSTA,LEVE,0,0
CHOQUE,1,0,2,ICA,NASCA,MARCONA,RURAL,CARRETERA,PROVINCIAL,IC-824,-15.379907203177597,-75.13640471810838,SOLEADO,RURAL,TRAMO RECTO,PLANA ,TROCHA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,2021,1,0,0,10,MAÑANA,COSTA,LEVE,0,0
CHOQUE,1,1,2,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,URBANA,CARRETERA,NACIONAL,PE-36A,-17.192137,-70.918786,SOLEADO,COMERCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,SI,REGULADORA (R),REGULADORA (R),NO,IMPRUDENCIA DEL CONDUCTOR,INVASIÓN DE CARRIL,2021,1,0,0,10,MAÑANA,COSTA,LEVE,0,0
DESPISTE,1,1,1,PUNO,SAN ROMAN,CABANA,RURAL,CARRETERA,NACIONAL,PE-34A,-15.617333238431144,-70.32051956332245,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,PREVENTIVA (P),INFORMATIVA (I),SI,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),2021,1,0,0,13,TARDE,SIERRA,LEVE,0,0
DESPISTE,1,0,1,LA LIBERTAD,PATAZ,PATAZ,RURAL,CARRETERA,DEPARTAMENTAL,LI-124,-7.692107,-77.663357,DESPEJADO,RURAL,CURVA,INCLINADA,AFIRMADO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,0,0,20,NOCHE,COSTA,LEVE,0,0
CHOQUE,1,1,3,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,URBANA,CARRETERA,NACIONAL,PE-1NJ,-6.152203,-79.710059,SOLEADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,REGULADORA (R),REGULADORA (R),NO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,1,0,11,MAÑANA,COSTA,LEVE,0,0
DESPISTE,1,0,1,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,RURAL,CARRETERA,DEPARTAMENTAL,MO-103,-16.144516,-70.5461854,SOLEADO,RURAL,TRAMO RECTO,PLANA ,TROCHA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,2021,1,1,0,12,TARDE,COSTA,LEVE,0,0
CHOQUE,1,0,3,LIMA,HUAURA,HUACHO,RURAL,CARRETERA,NACIONAL,PE-1N,-11.18428545214436,-77.57624035482478,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,NEGLIGENCIA DEL CONDUCTOR,OTRO (NEGLIGENCIA DEL CONDUCTOR),2021,1,1,0,19,NOCHE,COSTA,LEVE,0,0
