CLASE SINIESTRO,CANTIDAD DE FALLECIDOS,CANTIDAD DE LESIONADOS,CANTIDAD DE VEHICULOS DAÑADOS,DEPARTAMENTO,PROVINCIA,DISTRITO,ZONA,TIPO DE VÍA,RED VIAL,COD CARRETERA,COORDENADAS LATITUD,COORDENADAS  LONGITUD,CONDICIÓN CLIMÁTICA,ZONIFICACIÓN,CARACTERÍSTICAS DE VÍA,PERFIL LONGITUDINAL VÍA,SUPERFICIE DE CALZADA,¿EXISTE SEÑAL VERTICAL?,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 1,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 2,¿EXISTE SEÑAL HORIZONTAL?,CAUSA FACTOR PRINCIPAL,CAUSA ESPECÍFICA,AÑO,MES,DIA_SEMANA,ES_FIN_SEMANA,HORA_NUM,FRANJA_HORARIA,REGION_NATURAL,CATEGORIA_SEVERIDAD,MORTALIDAD_MULTIPLE,LESION_MULTIPLE
CHOQUE,1,0,2,CUSCO,ANTA,ZURITE,RURAL,CARRETERA,NACIONAL,PE-3S,-13.483822,-72.257571,LLUVIOSO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,NO,SIN_DATO,SIN_DATO,SI,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,2025,3,5,1,19,NOCHE,SIERRA,LEVE,0,0
CHOQUE,1,0,1,LIMA,LIMA,SANTA ANITA,URBANA,CARRETERA,NACIONAL,PE-1N,-12.057073798746671,-76.97383451894015,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2025,3,5,1,22,NOCHE,COSTA,LEVE,0,0
CHOQUE,1,1,1,LIMA,LIMA,LOS OLIVOS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.991897100312825,-77.07490069233033,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2025,3,5,1,22,NOCHE,COSTA,LEVE,0,0
DESPISTE,1,1,1,CAJAMARCA,CHOTA,LAJAS,RURAL,CARRETERA,NACIONAL,PE-3N,-6.551038,-78.766424,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,2025,3,6,1,0,MADRUGADA,SIERRA,LEVE,0,0
CHOQUE,1,1,2,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,URBANA,CARRETERA,NACIONAL,PE-1N,-3.687558638944569,-80.6922304138195,DESPEJADO,RESIDENCIAL,CURVA,INCLINADA,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,INVASIÓN DE CARRIL,2025,3,6,1,4,MADRUGADA,COSTA,LEVE,0,0
ATROPELLO FUGA,1,0,1,SAN MARTIN,RIOJA,NUEVA CAJAMARCA,RURAL,CARRETERA,NACIONAL,PE-5N,-5.823932,-77.375791,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2025,3,6,1,5,MADRUGADA,SELVA,LEVE,0,0
DESPISTE,1,1,1,AREQUIPA,CAYLLOMA,LLUTA,RURAL,CARRETERA,SIN CLASIFICAR,SIN CLASIFICAR,-16.053973,-72.24098,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,TROCHA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2025,3,0,0,11,MAÑANA,COSTA,LEVE,0,0
ATROPELLO,1,0,1,LIMA,LIMA,SANTIAGO DE SURCO,URBANA,CARRETERA,NACIONAL,PE-1S,-12.095704,-76.980187,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2025,3,1,0,1,MADRUGADA,COSTA,LEVE,0,0
DESPISTE,3,1,1,AREQUIPA,AREQUIPA,YURA,RURAL,CARRETERA,NACIONAL,PE-34A,-16.137896,-71.636749,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,REGULADORA (R),PREVENTIVA (P),SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2025,3,1,0,2,MADRUGADA,COSTA,GRAVE_MORTALIDAD,1,0
CHOQUE,1,1,1,AREQUIPA,AREQUIPA,CERRO COLORADO,URBANA,CARRETERA,PROVINCIAL,AR-747,-16.360254,-71.562391,DESPEJADO,COMERCIAL,CURVA,PLANA ,ASFALTADA,SI,PREVENTIVA (P),SIN_DATO,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2025,3,1,0,13,TARDE,COSTA,LEVE,0,0
